stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
C1M610,石磐龍,1083.0,120.66350600000001,23.496606,嘉義縣,竹崎鄉光華村,2002/04/10,,本站於2015/6/11起進行儀器汰換，並於2015/12/31完成驗收。,,
C1M620,瑞里,1252.0,120.675197,23.545133,嘉義縣,梅山鄉瑞里派出所旁小路至站址(公墓旁)車程約10分鐘,2002/04/17,,本站於2015/7/6起進行儀器汰換，並於2015/12/31完成驗收。,,
C1M640,十字,1567.0,120.75368300000001,23.492153,嘉義縣,阿里山鄉十字村16號（十字國小樓頂）,2019/01/01,,,,
C1N001,沙崙,24.0,120.30940600000001,22.935472,臺南市,歸仁區沙崙里184號北沙崙農場,2013/08/01,,原(C1N000)站因儀器汰換，於2013/8/1更變為(C1N001)站。,C1N000,
C1O850,環湖,44.0,120.41863300000001,23.148617,臺南市,大內區頭社里10號(大內國小鳴頭分校內),1988/10/07,,本站於 2013/4/26 進行儀器汰換，並於2013/8/1完成驗收。,,
C1O870,大棟山,1249.0,120.52226,23.31157,臺南市,白河區大棟山三角點,1988/10/07,,,,
C1O880,關山,223.0,120.59409199999999,23.173397,臺南市,南化區關山里西阿里山關83號(瑞峰國小附近),1988/10/07,,本站於 2013/4/16 進行儀器汰換，並於2013/8/1完成驗收。,,
C1O921,楠西,115.0,120.48408300000001,23.183511,臺南市,楠西區中興路107號(楠西國民中學內),2013/04/18,,原(C1O920)站因儀器汰換，於2013/4/18更變為(C1O921)站。,C1O920,
C1R110,口社,110.0,120.645222,22.770111,屏東縣,三地門鄉口社村5鄰信義巷58-5號,1992/01/22,,本站於2013/9/3進行儀器汰換，並於2013/12/1完成驗收。,,
C1R120,上德文,820.0,120.70444199999999,22.763272,屏東縣,三地門鄉德文村口之公墓旁,1992/01/22,,本站於 2013/6/5 進行儀器汰換，並於2013/8/1完成驗收。,,
C1R250,力里,92.0,120.629228,22.428117,屏東縣,春日鄉七佳村自強一路92號(力里國民小學內),1997/08/20,,本站因儀器汰換，自2013/8/27起暫停資料提供，並於2013/12/1完成驗收。,,
C1R290,石門山,260.0,120.756597,22.112610999999998,屏東縣,牡丹鄉石門古戰場(恆春事業區29林班地),1997/07/01,,本站於2019/09/08進行儀器汰換，於2019/11/28完成驗收。,,
C1R610,西大武山,1828.0,120.7322,22.617719,屏東縣,泰武鄉北大武山步道2.6k,2013/10/27,,,,
C1R630,龍泉,60.0,120.59091000000001,22.66701,屏東縣,內埔鄉大新路109號（屏東縣新生國民小學）,2018/08/11,,,,
C1S670,摩天,1580.0,121.027,23.199503,臺東縣,海端鄉(省道臺20線169K福德宮後方),1997/05/17,,本站於2019/4/17起進行儀器汰換，於2019/6/7完成驗收。,,
C1S800,華源,80.0,121.02325,22.657882999999998,臺東縣,太麻里鄉華源村,2004/04/12,,本站於2019/2/24起進行儀器汰換，於2019/6/7完成驗收。,,
C1S820,金峰,177.0,120.93323600000001,22.590969,臺東縣,金峰鄉嘉蘭村嘉蘭國小旁,2004/04/12,,本站於2019/3/6起進行儀器汰換，於2019/6/7完成驗收。,,
C1S850,豐南,489.0,121.26238899999998,23.122139,花蓮縣,富里鄉豐南村花82縣道盡頭叉路1k旁,2011/10/26,,本站於2019/4/20起進行儀器汰換，於2019/6/7完成驗收。,,
C1S860,利嘉,516.0,121.050528,22.809417,臺東縣,卑南鄉利嘉林道6k附近梅子園,2011/10/27,,本站於2019/2/22起進行儀器汰換，於2019/6/7完成驗收。,,
C1S870,南美山,222.0,121.382333,23.15025,臺東縣,成功鎮南美山產業道路盡頭柑橘園,2011/10/25,,本站於2019/3/28起進行儀器汰換，於2019/6/7完成驗收。,,
C1S880,壽卡,474.0,120.858903,22.238910999999998,臺東縣,達仁鄉(大武事業區第48林班內)電信轉播站後方,1997/05/05,,原(C1R310)站因縣市代碼不符，於2015/4/13重新編碼為(C1S880)站。本站於2019/09/17進行儀器汰換，於2019/11/28完成驗收。,C1R310,
C1SA50,利嘉林道,1235.0,121.00938899999998,22.82325,臺東縣,臺東縣卑南鄉利嘉林道17K處,2020/04/09,,,,
